dates,city,season,host_team,visiting_team,toss_winner,toss_decision,venue,result,winner,player_of_match,match_id
2020-10-06 00:00:00,Abu Dhabi,2020,Mumbai Indians,Rajasthan Royals,Mumbai Indians,bat,Sheikh Zayed Stadium,1,Mumbai Indians,SA Yadav,776.0
2020-10-07 00:00:00,Abu Dhabi,2020,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,bat,Sheikh Zayed Stadium,1,Kolkata Knight Riders,RA Tripathi,777.0
2020-10-08 00:00:00,,2020,Sunrisers Hyderabad,Kings XI Punjab,Sunrisers Hyderabad,bat,Dubai International Cricket Stadium,1,Sunrisers Hyderabad,JM Bairstow,778.0
2020-10-09 00:00:00,,2020,Delhi Capitals,Rajasthan Royals,Rajasthan Royals,field,Sharjah Cricket Stadium,1,Delhi Capitals,R Ashwin,779.0
2020-10-10 00:00:00,Abu Dhabi,2020,Kolkata Knight Riders,Kings XI Punjab,Kolkata Knight Riders,bat,Sheikh Zayed Stadium,1,Kolkata Knight Riders,KD Karthik,780.0
2020-10-10 00:00:00,,2020,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,bat,Dubai International Cricket Stadium,1,Royal Challengers Bangalore,V Kohli,781.0
2020-10-11 00:00:00,,2020,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,bat,Dubai International Cricket Stadium,1,Rajasthan Royals,R Tewatia,782.0
2020-10-11 00:00:00,Abu Dhabi,2020,Delhi Capitals,Mumbai Indians,Delhi Capitals,bat,Sheikh Zayed Stadium,1,Mumbai Indians,Q de Kock,783.0
2020-10-12 00:00:00,,2020,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,bat,Sharjah Cricket Stadium,1,Royal Challengers Bangalore,AB de Villiers,784.0
2020-10-13 00:00:00,,2020,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,bat,Dubai International Cricket Stadium,1,Chennai Super Kings,RA Jadeja,785.0
2020-10-14 00:00:00,,2020,Delhi Capitals,Rajasthan Royals,Delhi Capitals,bat,Dubai International Cricket Stadium,1,Delhi Capitals,A Nortje,786.0
2020-10-15 00:00:00,,2020,Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore,bat,Sharjah Cricket Stadium,1,Kings XI Punjab,KL Rahul,787.0
2020-10-16 00:00:00,Abu Dhabi,2020,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,bat,Sheikh Zayed Stadium,1,Mumbai Indians,Q de Kock,788.0
2020-10-17 00:00:00,,2020,Chennai Super Kings,Delhi Capitals,Chennai Super Kings,bat,Sharjah Cricket Stadium,1,Delhi Capitals,S Dhawan,789.0
2020-10-17 00:00:00,,2020,Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals,bat,Dubai International Cricket Stadium,1,Royal Challengers Bangalore,AB de Villiers,790.0
2020-10-18 00:00:00,Abu Dhabi,2020,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Sheikh Zayed Stadium,2,Kolkata Knight Riders,LH Ferguson,791.0
2020-10-18 00:00:00,,2020,Mumbai Indians,Kings XI Punjab,Mumbai Indians,bat,Dubai International Cricket Stadium,2,Kings XI Punjab,KL Rahul,792.0
2020-10-19 00:00:00,Abu Dhabi,2020,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,bat,Sheikh Zayed Stadium,1,Rajasthan Royals,JC Buttler,793.0
2020-10-20 00:00:00,,2020,Delhi Capitals,Kings XI Punjab,Delhi Capitals,bat,Dubai International Cricket Stadium,1,Kings XI Punjab,S Dhawan,794.0
2020-10-21 00:00:00,Abu Dhabi,2020,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,bat,Sheikh Zayed Stadium,1,Royal Challengers Bangalore,Mohammed Siraj,795.0
2020-10-22 00:00:00,,2020,Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Dubai International Cricket Stadium,1,Sunrisers Hyderabad,MK Pandey,796.0
2020-10-23 00:00:00,,2020,Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,Sharjah Cricket Stadium,1,Mumbai Indians,TA Boult,797.0
2020-10-24 00:00:00,Abu Dhabi,2020,Kolkata Knight Riders,Delhi Capitals,Delhi Capitals,field,Sheikh Zayed Stadium,1,Kolkata Knight Riders,CV Varun,798.0
2020-10-24 00:00:00,,2020,Kings XI Punjab,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Dubai International Cricket Stadium,1,Kings XI Punjab,CJ Jordan,799.0
2020-10-25 00:00:00,Abu Dhabi,2020,Mumbai Indians,Rajasthan Royals,Mumbai Indians,bat,Sheikh Zayed Stadium,1,Rajasthan Royals,BA Stokes,800.0
2020-10-25 00:00:00,,2020,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,bat,Dubai International Cricket Stadium,1,Chennai Super Kings,RD Gaikwad,801.0
2020-10-26 00:00:00,,2020,Kolkata Knight Riders,Kings XI Punjab,Kings XI Punjab,field,Sharjah Cricket Stadium,1,Kings XI Punjab,CH Gayle,802.0
2020-10-27 00:00:00,,2020,Sunrisers Hyderabad,Delhi Capitals,Delhi Capitals,field,Dubai International Cricket Stadium,1,Sunrisers Hyderabad,WP Saha,803.0
2020-10-28 00:00:00,Abu Dhabi,2020,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,Sheikh Zayed Stadium,1,Mumbai Indians,SA Yadav,804.0
2020-10-29 00:00:00,,2020,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,field,Dubai International Cricket Stadium,1,Chennai Super Kings,RD Gaikwad,805.0
2020-10-30 00:00:00,Abu Dhabi,2020,Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,field,Sheikh Zayed Stadium,1,Rajasthan Royals,BA Stokes,806.0
2020-10-31 00:00:00,,2020,Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Sharjah Cricket Stadium,1,Sunrisers Hyderabad,Sandeep Sharma,807.0
2020-11-02 00:00:00,Abu Dhabi,2020,Royal Challengers Bangalore,Delhi Capitals,Delhi Capitals,field,Sheikh Zayed Stadium,1,Delhi Capitals,A Nortje,808.0
2020-11-01 00:00:00,Abu Dhabi,2020,Kings XI Punjab,Chennai Super Kings,Chennai Super Kings,field,Sheikh Zayed Stadium,1,Chennai Super Kings,RD Gaikwad,809.0
2020-11-01 00:00:00,,2020,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,field,Dubai International Cricket Stadium,1,Kolkata Knight Riders,PJ Cummins,810.0
2020-10-31 00:00:00,,2020,Delhi Capitals,Mumbai Indians,Mumbai Indians,field,Dubai International Cricket Stadium,1,Mumbai Indians,Ishan Kishan,811.0
2020-11-03 00:00:00,,2020,Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Sharjah Cricket Stadium,1,Sunrisers Hyderabad,S Nadeem,812.0
2020-11-05 00:00:00,,2020,Mumbai Indians,Delhi Capitals,Delhi Capitals,field,Dubai International Cricket Stadium,1,Mumbai Indians,JJ Bumrah,813.0
2020-11-06 00:00:00,Abu Dhabi,2020,Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Sheikh Zayed Stadium,1,Sunrisers Hyderabad,KS Williamson,814.0
2020-11-08 00:00:00,Abu Dhabi,2020,Delhi Capitals,Sunrisers Hyderabad,Delhi Capitals,bat,Sheikh Zayed Stadium,1,Delhi Capitals,MP Stoinis,815.0
2020-11-10 00:00:00,,2020,Delhi Capitals,Mumbai Indians,Delhi Capitals,bat,Dubai International Cricket Stadium,1,Mumbai Indians,TA Boult,816.0
